RowNo, VARIETY, Commodity, Unit, Kg, Code, Nairobi, Mombasa, Kisumu, Nakuru, Eldoretoret, Malindi, Kisii, Kitale, Chwele, Busia, Kakamega, Nyahururu, Imenti, Machakos, Taveta, Average, Max, Min, FileName, DateOfUpload
18, LEGUMES, Green Gram, Bag, 90.0, 46, 7120.0, 7200.0, 8080.0, 8200.0, 9920.0, 9440.0, 8070.0, 6525.0, 8000.0, 6300.0, 10400.0, 8400.0, 7000.0, 9200.0, 7200.0, 8070.0, 9920.0, 10400.0, wk-ending-0212011.xls, 2020-01-09 13:10:47
19, LEGUMES, Cowpeas, Bag, 90.0, 45, 7080.0, 8190.0, 7200.0, 9600.0, 5700.0, 6300.0, 6718.0, 6660.0, 8500.0, 5400.0, 6200.0, 6718.0, 6500.0, 4600.0, 5400.0, 6718.0, 9600.0, 4600.0, wk-ending-0212011.xls, 2020-01-09 13:10:47
20, LEGUMES, Fresh Peas, Bag, 51.0, 27, 2760.0, 2900.0, 2000.0, 2360.0, 1734.0, 2657.0, 2657.0, 1657.5, 1200.0, 2657.0, 5100.0, 2657.0, 4200.0, 2657.0, 2657.0, 2657.0, 5100.0, 1200.0, wk-ending-0212011.xls, 2020-01-09 13:10:47
21, LEGUMES, Groundnuts, Bag, 110.0, 44, 13000.0, 11800.0, 9600.0, 11400.0, 11000.0, 13320.0, 9733.333333333334, 11412.5, 10000.0, 12100.0, 10600.0, 9600.0, 8500.0, 10933.0, 11000.0, 10933.0, 9733.333333333334, 10000.0, wk-ending-0212011.xls, 2020-01-09 13:10:47
22, ROOTS & TUBERS, Red Irish Potatoes, Bag, 110.0, 29, 2800.0, 2360.0, 4140.0, 2800.0, 2260.0, 2875.0, 3033.3333333333335, 2433.3333333333335, 2650.0, 2700.0, 2500.0, 2875.0, 3500.0, 4000.0, 2200.0, 2875.0, 4140.0, 2200.0, wk-ending-0212011.xls, 2020-01-09 13:10:47
23, ROOTS & TUBERS, White Irish Potatoes, Bag, 110.0, 30, 3500.0, 2530.0, 4140.0, 2800.0, 2060.0, 3150.0, 3033.3333333333335, 1975.0, 2500.0, 2300.0, 2400.0, 2300.0, 3500.0, 4500.0, 2906.0, 2906.0, 4500.0, 1975.0, wk-ending-0212011.xls, 2020-01-09 13:10:47
24, ROOTS & TUBERS, Cassava Fresh, Bag, 98.8, 43, 2080.0, 1540.0, 1100.0, 1906.0, 1906.0, 3000.0, 1906.0, 1625.0, 1906.0, 1906.0, 1906.0, 1906.0, 2000.0, 1906.0, 2000.0, 1906.0, 3000.0, 1100.0, wk-ending-0212011.xls, 2020-01-09 13:10:47
25, ROOTS & TUBERS, Sweet Potatoes, Bag, 98.0, 31, 3600.0, 2330.0, 1280.0, 2760.0, 2950.0, 3584.0, 1900.0, 1450.0, 1500.0, 2200.0, 2000.0, 2335.0, 1800.0, 2335.0, 3000.0, 2335.0, 3600.0, 1280.0, wk-ending-0212011.xls, 2020-01-09 13:10:47
26, HORTICULTURE, Cabbages, Ext Bag, 126.0, 9, 2520.0, 2460.0, 920.0, 1100.0, 780.0, 2470.0, 933.3333333333334, 990.0, 800.0, 2200.0, 3150.0, 1100.0, 700.0, 900.0, 2500.0, 1568.0, 990.0, 1100.0, wk-ending-0212011.xls, 2020-01-09 13:10:47
27, HORTICULTURE, Cooking Bananas, Med Bunch, 22.0, 2, 588.0, 630.0, 300.0, 500.0, 700.0, 490.0, 383.3333333333333, 350.0, 250.0, 850.0, 525.0, 700.0, 800.0, 350.0, 250.0, 511.0, 850.0, 250.0, wk-ending-0212011.xls, 2020-01-09 13:10:47
28, HORTICULTURE, Ripe Bananas, Med Bunch, 14.0, 3, 668.0, 458.0, 300.0, 296.0, 488.0, 564.0, 585.0, 560.0, 350.0, 1300.0, 475.0, 650.0, 900.0, 600.0, 585.0, 585.0, 900.0, 1300.0, wk-ending-0212011.xls, 2020-01-09 13:10:47
29, HORTICULTURE, Carrots, Ext Bag, 138.0, 13, 2540.0, 2356.0, 2600.0, 1340.0, 920.0, 3690.0, 2000.0, 2587.5, 1000.0, 2418.0, 5250.0, 2070.0, 2000.0, 3000.0, 2500.0, 2418.0, 920.0, 1000.0, wk-ending-0212011.xls, 2020-01-09 13:10:47
30, HORTICULTURE, Tomatoes, Lg Box, 64.0, 32, 3620.0, 2220.0, 3200.0, 2800.0, 3600.0, 2358.0, 3166.6666666666665, 3050.0, 1800.0, 2500.0, 4750.0, 2200.0, 800.0, 3200.0, 1200.0, 2698.0, 800.0, 1200.0, wk-ending-0212011.xls, 2020-01-09 13:10:47
31, HORTICULTURE, Onions Dry, net, 13.0, 22, 676.0, 630.0, 690.0, 500.0, 572.0, 676.0, 600.0, 325.0, 474.5, 650.0, 595.0, 585.0, 800.0, 3000.0, 650.0, 762.0, 800.0, 3000.0, wk-ending-0212011.xls, 2020-01-09 13:10:47
32, HORTICULTURE, Spring Onions, Bag, 142.0, 23, 1960.0, 1380.0, 920.0, 640.0, 800.0, 1206.0, 900.0, 1650.0, 800.0, 1206.0, 1206.0, 1206.0, 1800.0, 1206.0, 1206.0, 1206.0, 920.0, 1380.0, wk-ending-0212011.xls, 2020-01-09 13:10:47
33, HORTICULTURE, Chillies, Bag, 38.0, 11, 3080.0, 1460.0, 760.0, 3000.0, 2073.0, 3800.0, 2073.0, 1683.3333333333333, 1600.0, 2073.0, 2073.0, 2073.0, 1200.0, 2073.0, 2073.0, 2073.0, 760.0, 1200.0, wk-ending-0212011.xls, 2020-01-09 13:10:47
34, HORTICULTURE, Cucumber, Bag, 50.0, 14, 1640.0, 1630.0, 1572.0, 1572.0, 1572.0, 1850.0, 1572.0, 1166.6666666666667, 1572.0, 1572.0, 1572.0, 1572.0, 1572.0, 1572.0, 1572.0, 1572.0, 1850.0, 1166.6666666666667, wk-ending-0212011.xls, 2020-01-09 13:10:47
35, HORTICULTURE, Capsicums, Bag, 50.0, 12, 2980.0, 1980.0, 880.0, 2500.0, 1400.0, 2500.0, 1927.0, 1833.3333333333333, 900.0, 2250.0, 1927.0, 2500.0, 1700.0, 1700.0, 1927.0, 1927.0, 900.0, 1400.0, wk-ending-0212011.xls, 2020-01-09 13:10:47
36, HORTICULTURE, Brinjals, Bag, 44.0, 8, 1740.0, 740.0, 820.0, 1500.0, 1121.0, 1290.0, 1121.0, 880.0, 1121.0, 1000.0, 1121.0, 1121.0, 1121.0, 1000.0, 1121.0, 1121.0, 880.0, 1000.0, wk-ending-0212011.xls, 2020-01-09 13:10:47
37, HORTICULTURE, Cauliflower, crate, 39.0, 10, 2460.0, 1716.0, 2088.0, 2088.0, 2088.0, 2088.0, 2088.0, 2088.0, 2088.0, 2088.0, 2088.0, 2088.0, 2088.0, 2088.0, 2088.0, 2088.0, 2460.0, 1716.0, wk-ending-0212011.xls, 2020-01-09 13:10:47
38, HORTICULTURE, Lettuce, Bag, 51.0, 17, 2440.0, 1320.0, 2410.0, 2410.0, 2410.0, 4080.0, 2410.0, 2410.0, 2410.0, 2410.0, 2410.0, 2410.0, 1800.0, 2410.0, 2410.0, 2410.0, 4080.0, 1320.0, wk-ending-0212011.xls, 2020-01-09 13:10:47
39, HORTICULTURE, Passion Fruits, Bag, 57.0, 25, 3500.0, 3700.0, 2960.0, 3500.0, 1311.0, 2740.0, 3040.0, 2350.0, 3299.0, 5700.0, 3299.0, 3990.0, 3500.0, 3299.0, 3299.0, 3299.0, 5700.0, 1311.0, wk-ending-0212011.xls, 2020-01-09 13:10:47
40, HORTICULTURE, Oranges, Bag, 93.0, 24, 2380.0, 2160.0, 2360.0, 2240.0, 3080.0, 3960.0, 3600.0, 2433.3333333333335, 3500.0, 1900.0, 3750.0, 2760.0, 3500.0, 2400.0, 2859.0, 2859.0, 3960.0, 1900.0, wk-ending-0212011.xls, 2020-01-09 13:10:47
41, HORTICULTURE, Lemons, Bag, 95.0, 16, 1540.0, 1120.0, 780.0, 1600.0, 1400.0, 1960.0, 3100.0, 1900.0, 200.0, 1000.0, 1400.0, 1400.0, 800.0, 1400.0, 1400.0, 1400.0, 800.0, 1000.0, wk-ending-0212011.xls, 2020-01-09 13:10:47
42, HORTICULTURE, Mangoes Local, Bag, 126.0, 21, 2040.0, 650.0, 1800.0, 2100.0, 2000.0, 1840.0, 1535.0, 1850.0, 1535.0, 1200.0, 1800.0, 1535.0, 700.0, 900.0, 1535.0, 1535.0, 900.0, 1200.0, wk-ending-0212011.xls, 2020-01-09 13:10:47
43, HORTICULTURE, Mangoes Ngowe, Sm Basket, 25.0, 36, 794.0, 462.5, 2500.0, 500.0, 450.0, 840.0, 843.0, 843.0, 500.0, 843.0, 843.0, 843.0, 700.0, 843.0, 843.0, 843.0, 840.0, 2500.0, wk-ending-0212011.xls, 2020-01-09 13:10:47
44, HORTICULTURE, Limes, net, 13.0, 18, 660.0, 785.0, 657.0, 657.0, 657.0, 526.0, 657.0, 657.0, 657.0, 657.0, 657.0, 657.0, 657.0, 657.0, 657.0, 657.0, 785.0, 526.0, wk-ending-0212011.xls, 2020-01-09 13:10:47
45, HORTICULTURE, Pineapples, Dozen, 12.8, 28, 644.0, 1132.8, 1600.0, 456.0, 520.0, 552.0, 466.6666666666667, 455.0, 826.0, 1440.0, 1440.0, 826.0, 600.0, 600.0, 826.0, 826.0, 644.0, 1132.8, wk-ending-0212011.xls, 2020-01-09 13:10:47
46, HORTICULTURE, Pawpaw, Lg Box, 54.0, 26, 2000.0, 800.0, 840.0, 2200.0, 1728.0, 1780.0, 633.3333333333334, 1620.0, 1325.0, 1325.0, 1325.0, 1325.0, 850.0, 800.0, 1325.0, 1325.0, 850.0, 1620.0, wk-ending-0212011.xls, 2020-01-09 13:10:47
47, HORTICULTURE, Avocado, Bag, 90.0, 1, 2620.0, 2920.0, 810.0, 1800.0, 2260.0, 5500.0, 1066.6666666666667, 1450.0, 2119.0, 2119.0, 2119.0, 1600.0, 900.0, 2500.0, 2000.0, 2119.0, 900.0, 1066.6666666666667, wk-ending-0212011.xls, 2020-01-09 13:10:47
48, HORTICULTURE, Kales, Bag, 50.0, 15, 1080.0, 1380.0, 1240.0, 400.0, 560.0, 1250.0, 433.3333333333333, 575.0, 275.0, 900.0, 1350.0, 500.0, 300.0, 500.0, 550.0, 753.0, 900.0, 1080.0, wk-ending-0212011.xls, 2020-01-09 13:10:47
49, OTHERS, Eggs, Tray, 5, 47, 288.0, 266.0, 273.0, 250.0, 268.0, 288.0, 330.0, 246.25, 280.0, 250.0, 290.0, 280.0, 280.0, 285.0, 300.0, 278.0, 330.0, 246.25, wk-ending-0212011.xls, 2020-01-09 13:10:47
