RowNo, VARIETY, Commodity, Unit, Kg, Code, Nairobi, Mombasa, Kisumu, Nakuru, Eldoret, Malindi, Kitale, Loitktk, Taveta, Average, Max, Min, FileName, DateOfUpload
18, LEGUMES, Green Gram, Bag, 90.0, 46, 7600.0, 6300.0, 8000.0, 5800.0, 10800.0, 9600.0, 6300.0, 9000.0, 8100.0, 7944.0, 9600.0, 10800.0, 111012.xls, 2020-01-09 13:10:47
19, LEGUMES, Cowpeas, Bag, 90.0, 45, 7600.0, 6300.0, 7200.0, 10000.0, 5320.0, 6300.0, 6660.0, 6848.0, 5400.0, 6848.0, 7600.0, 10000.0, 111012.xls, 2020-01-09 13:10:47
20, LEGUMES, Fresh Peas, Bag, 51.0, 27, 3200.0, 3060.0, 2700.0, 2700.0, 2040.0, 2623.0, 2040.0, 2623.0, 2623.0, 2623.0, 3200.0, 2040.0, 111012.xls, 2020-01-09 13:10:47
21, LEGUMES, Groundnuts, Bag, 110.0, 44, 11000.0, 11550.0, 10000.0, 11000.0, 13200.0, 13050.0, 12100.0, 10375.0, 1100.0, 10375.0, 13200.0, 10000.0, 111012.xls, 2020-01-09 13:10:47
22, ROOTS & TUBERS, Red Irish Potatoes, Bag, 110.0, 29, 4700.0, 4500.0, 4800.0, 4000.0, 2500.0, 3563.0, 2500.0, 3000.0, 2500.0, 3563.0, 4800.0, 2500.0, 111012.xls, 2020-01-09 13:10:47
23, ROOTS & TUBERS, White Irish Potatoes, Bag, 110.0, 30, 4800.0, 5500.0, 4800.0, 4000.0, 2200.0, 4000.0, 2500.0, 3000.0, 3850.0, 3850.0, 5500.0, 2200.0, 111012.xls, 2020-01-09 13:10:47
24, ROOTS & TUBERS, Cassava Fresh, Bag, 98.8, 43, 2200.0, 150.0, 1500.0, 1742.0, 1742.0, 3000.0, 1600.0, 1742.0, 2000.0, 1742.0, 3000.0, 150.0, 111012.xls, 2020-01-09 13:10:47
25, ROOTS & TUBERS, Sweet Potatoes, Bag, 98.0, 31, 3800.0, 3000.0, 2000.0, 2500.0, 2200.0, 4000.0, 1800.0, 2713.0, 2400.0, 2713.0, 4000.0, 1800.0, 111012.xls, 2020-01-09 13:10:47
26, HORTICULTURE, Cabbages, Ext Bag, 126.0, 9, 2600.0, 2119.0, 1500.0, 1800.0, 1500.0, 3150.0, 900.0, 2500.0, 3000.0, 2119.0, 900.0, 1500.0, 111012.xls, 2020-01-09 13:10:47
27, HORTICULTURE, Cooking Bananas, Med Bunch, 22.0, 2, 640.0, 400.0, 300.0, 500.0, 800.0, 500.0, 300.0, 500.0, 250.0, 466.0, 800.0, 250.0, 111012.xls, 2020-01-09 13:10:47
28, HORTICULTURE, Ripe Bananas, Med Bunch, 14.0, 3, 700.0, 600.0, 300.0, 250.0, 480.0, 580.0, 560.0, 500.0, 496.0, 496.0, 700.0, 250.0, 111012.xls, 2020-01-09 13:10:47
29, HORTICULTURE, Carrots, Ext Bag, 138.0, 13, 4000.0, 2500.0, 3000.0, 1500.0, 2000.0, 4000.0, 3550.0, 2500.0, 2500.0, 2839.0, 4000.0, 1500.0, 111012.xls, 2020-01-09 13:10:47
30, HORTICULTURE, Tomatoes, Lg Box, 64.0, 32, 6700.0, 4200.0, 4800.0, 6000.0, 5400.0, 3820.0, 3500.0, 3500.0, 1200.0, 4347.0, 6700.0, 1200.0, 111012.xls, 2020-01-09 13:10:47
31, HORTICULTURE, Onions Dry, net, 13.0, 22, 850.0, 1200.0, 800.0, 750.0, 780.0, 1000.0, 520.0, 850.0, 900.0, 850.0, 900.0, 1000.0, 111012.xls, 2020-01-09 13:10:47
32, HORTICULTURE, Spring Onions, Bag, 142.0, 23, 2000.0, 1100.0, 900.0, 600.0, 1000.0, 1217.0, 1700.0, 1217.0, 1217.0, 1217.0, 900.0, 1000.0, 111012.xls, 2020-01-09 13:10:47
33, HORTICULTURE, Chillies, Bag, 38.0, 11, 3300.0, 1900.0, 1000.0, 3000.0, 2720.0, 4400.0, 2720.0, 2720.0, 2720.0, 2720.0, 4400.0, 1000.0, 111012.xls, 2020-01-09 13:10:47
34, HORTICULTURE, Cucumber, Bag, 50.0, 14, 1900.0, 2000.0, 1717.0, 1717.0, 1717.0, 1717.0, 1250.0, 1717.0, 1717.0, 1717.0, 2000.0, 1250.0, 111012.xls, 2020-01-09 13:10:47
35, HORTICULTURE, Capsicums, Bag, 50.0, 12, 3300.0, 2500.0, 1500.0, 2500.0, 2000.0, 3500.0, 2000.0, 2471.0, 2471.0, 2471.0, 3500.0, 1500.0, 111012.xls, 2020-01-09 13:10:47
36, HORTICULTURE, Brinjals, Bag, 44.0, 8, 2000.0, 880.0, 1200.0, 2000.0, 1433.0, 1640.0, 880.0, 1433.0, 1433.0, 1433.0, 880.0, 1200.0, 111012.xls, 2020-01-09 13:10:47
37, HORTICULTURE, Cauliflower, crate, 39.0, 10, 2800.0, 1950.0, 2375.0, 2375.0, 2375.0, 2375.0, 2375.0, 2375.0, 2375.0, 2375.0, 2800.0, 1950.0, 111012.xls, 2020-01-09 13:10:47
38, HORTICULTURE, Lettuce, Bag, 51.0, 17, 2600.0, 2000.0, 2933.0, 2933.0, 2933.0, 4200.0, 2933.0, 2933.0, 2933.0, 2933.0, 4200.0, 2000.0, 111012.xls, 2020-01-09 13:10:47
39, HORTICULTURE, Passion Fruits, Bag, 57.0, 25, 3800.0, 5415.0, 3100.0, 3500.0, 2550.0, 3420.0, 3631.0, 3631.0, 3631.0, 3631.0, 5415.0, 2550.0, 111012.xls, 2020-01-09 13:10:47
40, HORTICULTURE, Oranges, Bag, 93.0, 24, 2600.0, 2000.0, 2500.0, 2400.0, 3000.0, 4250.0, 2700.0, 3000.0, 2500.0, 2772.0, 4250.0, 2000.0, 111012.xls, 2020-01-09 13:10:47
41, HORTICULTURE, Lemons, Bag, 95.0, 16, 1600.0, 1200.0, 800.0, 1500.0, 1543.0, 2000.0, 1900.0, 1543.0, 1800.0, 1543.0, 800.0, 1200.0, 111012.xls, 2020-01-09 13:10:47
42, HORTICULTURE, Mangoes Local, Bag, 126.0, 21, 2000.0, 900.0, 1880.0, 2000.0, 2750.0, 1800.0, 1900.0, 2300.0, 900.0, 1826.0, 900.0, 1800.0, 111012.xls, 2020-01-09 13:10:47
43, HORTICULTURE, Mangoes Ngowe, Sm Basket, 25.0, 36, 800.0, 500.0, 620.0, 500.0, 550.0, 750.0, 620.0, 620.0, 620.0, 620.0, 800.0, 500.0, 111012.xls, 2020-01-09 13:10:47
44, HORTICULTURE, Limes, net, 13.0, 18, 600.0, 550.0, 550.0, 500.0, 550.0, 550.0, 550.0, 550.0, 550.0, 550.0, 600.0, 500.0, 111012.xls, 2020-01-09 13:10:47
45, HORTICULTURE, Pineapples, Dozen, 12.8, 28, 600.0, 840.0, 623.0, 480.0, 650.0, 650.0, 520.0, 623.0, 623.0, 623.0, 840.0, 480.0, 111012.xls, 2020-01-09 13:10:47
46, HORTICULTURE, Pawpaw, Lg Box, 54.0, 26, 2000.0, 1000.0, 800.0, 2000.0, 2160.0, 1650.0, 1620.0, 1604.0, 1604.0, 1604.0, 800.0, 1000.0, 111012.xls, 2020-01-09 13:10:47
47, HORTICULTURE, Avocado, Bag, 90.0, 1, 3000.0, 3000.0, 900.0, 2000.0, 2700.0, 6000.0, 2575.0, 1000.0, 2000.0, 2575.0, 900.0, 1000.0, 111012.xls, 2020-01-09 13:10:47
48, HORTICULTURE, Kales, Bag, 50.0, 15, 1500.0, 2800.0, 1500.0, 1300.0, 800.0, 1500.0, 1500.0, 1000.0, 600.0, 1389.0, 800.0, 1000.0, 111012.xls, 2020-01-09 13:10:47
49, OTHERS, Eggs, Tray, 5, 47, 290.0, 330.0, 290.0, 250.0, 300.0, 350.0, 250.0, 250.0, 300.0, 290.0, 350.0, 250.0, 111012.xls, 2020-01-09 13:10:47
